Indnum,Activity,Consumption,Quality_of_Life_Importance__1_10,solar_powered__water_heater,gas_water_heater,electric_water_heater___peak_hou,electric_water_heater___off_peak,gas,natural_gas,hybrid,electric___peak_hours,electric___off_peak_hours,jetfuel
769,hazardous or electric items disposed,,,,,,,,,,,,
769,large items disposed,1,20,,,,,,,,,,
770,Household heating => 70F,8,81,,,,,,1,,,,
770,Household heating < 70F,8,63,,,,,,1,,,,
770,Use of heat pump,,41,,,,,,,,,,
770,Use of air conditioner,25,46,,,,,,,,1,,
770,shower - short,3,88,,,,,,,,,,
770,shower - long (> 3 min),27,91,,,,,,,,,,
770,bath,,14,,,,,,,,,,
770,wash-up,51,25,,,,,,,,,,
770,use of dishwasher,,21,,,,,,,,,,
770,use of clothes washer,8,40,,,,,,,,,,
770,use of clothes dryer,2,11,,,,,,,,,1,
770,use of cooking range,,,,,,,,,,,1,
770,use of  oven,9,40,,,,,,,,,1,
770,use of self-clean feature of electric oven,4,17,,1,,,,,,,,
770,Small kitchen appliance in the home,,,,,,,,,,,,
770,TV/computer use,60,24,,,,,,,,,,
770,air travel - large plane,2628,43,,,,,,,,,,
770,air travel - small  plane (<50 seats),,,,,,,,,,,,1
770,car trips- self only,462,50,,,,,1,,,,,
770,car trips - driver and self,28,38,,,,,1,,,,,
770,car trips - 2+ people with multiple end points,13,,,,,,1,,,,,
770,trips using public ground transportation,16,61,,,,,,,,,,
770,bags of garbage disposed,21,41,,,,,,,,,,
770,bags of recycling deposited (negative CF),,,,,,,,,,,,
770,bags of compost deposited (negative CF),3,6,,,,,,,,,,
770,hazardous or electric items disposed,1,,,,,,,,,,,
770,large items disposed,2,20,,,,,,,,,,
771,Household heating => 70F,9,73,1,,,,,1,,1,,
771,Household heating < 70F,10,92,,1,,1,,1,,,,
771,Use of heat pump,,53,,,,,,,,,,
771,Use of air conditioner,29,39,,,,,,,,,,
771,shower - short,4,92,,,1,,,,,,,
771,shower - long (> 3 min),12,90,,,,,,,,,,
771,bath,,20,,,,,,,,,,
771,wash-up,50,36,,,,,,,,,,
771,use of dishwasher,,24,,,,,,,,,,
771,use of clothes washer,3,34,,,,,,,,,,
771,use of clothes dryer,2,20,,,,,,,,,,
771,use of cooking range,,,,,,,,,,,,
771,use of  oven,10,37,,,,,,,,,,
771,use of self-clean feature of electric oven,4,20,,,,,,,,,,
771,Small kitchen appliance in the home,,,,,,,,,,,,
771,TV/computer use,60,26,,,,,,,,,,
771,air travel - large plane,2488,50,,,,,,,,,,
771,air travel - small  plane (<50 seats),,,,,,,,,,,,
771,car trips- self only,419,55,,,,,1,,,,,
771,car trips - driver and self,36,27,,,,,1,,,,,
771,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
771,trips using public ground transportation,14,53,,,,,,,,,,
771,bags of garbage disposed,23,46,,,,,,,,,,
771,bags of recycling deposited (negative CF),,,,,,,,,,,,
771,bags of compost deposited (negative CF),,,,,,,,,,,,
771,hazardous or electric items disposed,,,,,,,,,,,,
771,large items disposed,1,13,,,,,,,,,,
772,Household heating => 70F,10,64,,,,,,1,,,,
772,Household heating < 70F,9,60,,,,,,1,1,,,
772,Use of heat pump,,44,,,,,,,,,,
772,Use of air conditioner,18,45,,,,,,,,,,
772,shower - short,3,91,,1,,,,,,,,
772,shower - long (> 3 min),13,82,,,,,,,,,,
772,bath,,22,,,,,,,,,,
772,wash-up,32,40,1,,,,,,,,,
772,use of dishwasher,,25,,,,,,,,,,
772,use of clothes washer,2,42,,,,,,,,,,
772,use of clothes dryer,4,18,,,,,,,,,1,
772,use of cooking range,,,,,,,,,,,1,
772,use of  oven,11,36,,,,,,,,,1,
772,use of self-clean feature of electric oven,1,12,,,,,,,,,,
772,Small kitchen appliance in the home,,,,,,,,,,,,
772,TV/computer use,64,30,,,,,,,,,,
772,air travel - large plane,3644,49,,,,,,,,,,1
772,air travel - small  plane (<50 seats),,,,,,,,,,,,
772,car trips- self only,461,55,,,,,1,,,,,
772,car trips - driver and self,12,23,,,,,1,,,,,
772,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
772,trips using public ground transportation,16,42,,,,,,,,,,
772,bags of garbage disposed,28,48,,,,,,,,,,
772,bags of recycling deposited (negative CF),,,,,,,,,,,,
772,bags of compost deposited (negative CF),,,,,,,,,,,,
772,hazardous or electric items disposed,,,,,,,,,,,,
772,large items disposed,2,18,,,,,,,,,,
773,Household heating => 70F,10,83,,,,,1,1,,,,
773,Household heating < 70F,4,69,,,1,,,1,,,,
773,Use of heat pump,,48,,,,,,,,,,
773,Use of air conditioner,17,44,,,,,,,,,,
773,shower - short,3,83,,,,,,,,,,
773,shower - long (> 3 min),36,74,,,,,,,,,,
773,bath,,13,,,,,,,,,,
773,wash-up,39,41,,,,,,,,,,
773,use of dishwasher,,20,,,,,,,,,,
773,use of clothes washer,6,42,,,,,,,,,,
773,use of clothes dryer,2,12,,,1,,,,,,,
773,use of cooking range,,,,,1,,,,,,,
773,use of  oven,8,34,,,,,,,,,,
773,use of self-clean feature of electric oven,4,18,,,,,,,,,,
773,Small kitchen appliance in the home,,,,,,1,,,,,,
773,TV/computer use,59,29,,1,,,,,,,,
773,air travel - large plane,2816,50,,,,,,,,,,1
773,air travel - small  plane (<50 seats),,,,,,,,,,,,
773,car trips- self only,342,48,,,,,1,,,,,
773,car trips - driver and self,33,40,,,,,1,,,,,
773,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
773,trips using public ground transportation,17,47,,,,,,,,,,
773,bags of garbage disposed,22,45,,,,,,,,,,
773,bags of recycling deposited (negative CF),,,,,,,,,,,,
773,bags of compost deposited (negative CF),,,,,,,,,,,,
773,hazardous or electric items disposed,,,,,,,,,,,,
773,large items disposed,1,20,,,,,,,,,,
774,Household heating => 70F,3,64,,,,,,1,,,,
774,Household heating < 70F,4,80,,,,,,1,,,,
774,Use of heat pump,,41,,1,,1,,,,,,
774,Use of air conditioner,21,52,,,,,,,,,,
774,shower - short,3,97,,1,,,,,,,,
774,shower - long (> 3 min),30,83,,,,,,,,,,
774,bath,,13,,,,,,,,,,
774,wash-up,46,42,,,,,,,,,,
774,use of dishwasher,,20,,,,,,,,,,
774,use of clothes washer,8,34,,,,,,,,,,
774,use of clothes dryer,4,21,,,,,,,,,1,
774,use of cooking range,,,,,,,,,,,1,
774,use of  oven,9,41,,,,,,,,,1,
774,use of self-clean feature of electric oven,1,11,,1,,1,,,,,,
774,Small kitchen appliance in the home,,,,,,,,,,,,
774,TV/computer use,62,30,,,,,,,,,,
774,air travel - large plane,2649,51,,,,,,,,,,
774,air travel - small  plane (<50 seats),,,,,,,,,,,,
774,car trips- self only,349,42,,,,,1,,,,,
774,car trips - driver and self,30,20,,,,,1,,,,,
774,car trips - 2+ people with multiple end points,14,,,,,,1,,,,,
774,trips using public ground transportation,16,51,,,,,,,,,,
774,bags of garbage disposed,25,49,,,,,,,,,,
774,bags of recycling deposited (negative CF),,,,,,,,,,,,
774,bags of compost deposited (negative CF),,,,,,,,,,,,
774,hazardous or electric items disposed,,,,,,,,,,,,
774,large items disposed,,12,,,,,,,,,,
775,Household heating => 70F,5,63,,,,,,1,,,,
775,Household heating < 70F,3,62,,,,,,1,,,,
775,Use of heat pump,,50,1,,,,,,,,,
775,Use of air conditioner,25,43,,,1,,,,,,,
775,shower - short,4,95,,,,,,,,,,
775,shower - long (> 3 min),24,87,,,,,,,,,,
775,bath,,17,,,,,,,,,,
775,wash-up,46,39,1,,,,,,,,,
775,use of dishwasher,,21,,,,,,,,,,
775,use of clothes washer,4,29,,1,,,,,,,,
775,use of clothes dryer,2,20,,1,,,,,,,,
775,use of cooking range,,,1,,,,,,,,,
775,use of  oven,10,34,,1,,,,,,,,
775,use of self-clean feature of electric oven,1,19,,,,,,,,,,
775,Small kitchen appliance in the home,,,1,,,,,,,,,
775,TV/computer use,60,27,,,,,,,,,,
775,air travel - large plane,2995,50,,,,,,,,,,
775,air travel - small  plane (<50 seats),,,,,,,,,,,,
775,car trips- self only,372,62,,,,,1,,,,,
775,car trips - driver and self,27,24,,,,,1,,,,,
775,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
775,trips using public ground transportation,16,46,,,,,,,,,,
775,bags of garbage disposed,20,48,,,,,,,,,,
775,bags of recycling deposited (negative CF),,,,,,,,,,,,
775,bags of compost deposited (negative CF),,,,,,,,,,,,
775,hazardous or electric items disposed,,,,,,,,,,,,
775,large items disposed,2,13,,,,,,,,,,
776,Household heating => 70F,1,68,,,,1,,1,,,,
776,Household heating < 70F,10,88,,1,,,,1,,,,
776,Use of heat pump,,55,,,,,,,,,,
776,Use of air conditioner,30,52,,,,1,,,,,,
776,shower - short,8,92,,,,,,,,,,
776,shower - long (> 3 min),20,81,,,,,,,,,,
776,bath,,17,,,1,,,,,,,
776,wash-up,46,35,,,,,,,,,,
776,use of dishwasher,,23,,,,,,,,,,
776,use of clothes washer,4,37,,,,,,,,,,
776,use of clothes dryer,3,20,,,,,,,,,1,
776,use of cooking range,,,,,,1,,,,,1,
776,use of  oven,11,37,,,,,,,,,1,
776,use of self-clean feature of electric oven,1,14,,1,,,,,,,,
776,Small kitchen appliance in the home,,,1,,,,,,,,,
776,TV/computer use,58,28,,,,,,,,,,
776,air travel - large plane,3997,43,,,,,,,,,,
776,air travel - small  plane (<50 seats),,,,,,,,,,,,
776,car trips- self only,367,44,,,,,1,,,,,
776,car trips - driver and self,30,26,,,,,1,,,,,
776,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
776,trips using public ground transportation,15,53,,,,,,,,,,
776,bags of garbage disposed,19,51,,,,,,,,,,
776,bags of recycling deposited (negative CF),,,,,,,,,,,,
776,bags of compost deposited (negative CF),,,,,,,,,,,,
776,hazardous or electric items disposed,,,,,,,,,,,,
776,large items disposed,,13,,,,,,,,,,
777,Household heating => 70F,8,77,1,,1,,,1,,,,
777,Household heating < 70F,9,88,,,,,,1,,,,
777,Use of heat pump,,55,,,,,,,,,,
777,Use of air conditioner,23,49,,,,,,,,,,
777,shower - short,2,95,,,1,,,,,,,
777,shower - long (> 3 min),22,82,,,,,,,,,,
777,bath,,21,,,,,,,,,,
777,wash-up,36,36,,,,,,,,1,,
777,use of dishwasher,,22,,,,,,,,,,
777,use of clothes washer,5,28,1,,,,,,,1,,
777,use of clothes dryer,3,20,,,,,,,,,,
777,use of cooking range,,,,,,,,,,,,
777,use of  oven,9,31,,,,,,,,,,
777,use of self-clean feature of electric oven,3,21,,,,,,,,,,
777,Small kitchen appliance in the home,50,,,,,,,,,,,
777,TV/computer use,61,31,,,,,,,,,,
777,air travel - large plane,2950,46,,,,,,,,,,
777,air travel - small  plane (<50 seats),,,,,,,,,,,,1
777,car trips- self only,318,54,,,,,1,,,,,
777,car trips - driver and self,22,31,,,,,1,,,,,
777,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
777,trips using public ground transportation,19,42,,,,,,,,,,
777,bags of garbage disposed,17,51,,,,,,,,,,
777,bags of recycling deposited (negative CF),,,,,,,,,,,,
777,bags of compost deposited (negative CF),4,9,,,,,,,,,,
777,hazardous or electric items disposed,,,,,,,,,,,,
777,large items disposed,2,16,,,,,,,,,,
778,Household heating => 70F,8,87,,,1,,,1,,,,
778,Household heating < 70F,3,80,,,,,,1,,,,
778,Use of heat pump,,53,,,,,,,,,,
778,Use of air conditioner,26,47,,,,,,,,,,
778,shower - short,5,92,,,,,,,,,,
778,shower - long (> 3 min),38,75,,,,,,,,,,
778,bath,4,12,,,,,,,,,,
778,wash-up,50,39,,,,1,,,,,,
778,use of dishwasher,,24,,,,1,,,,1,,
778,use of clothes washer,3,30,,,,,,,,,,
778,use of clothes dryer,2,21,,,,,,,,,1,
778,use of cooking range,,,,,,,,,,,1,
778,use of  oven,9,33,,,,,,,,,1,
778,use of self-clean feature of electric oven,2,11,,,,,,,,,,
778,Small kitchen appliance in the home,,,,1,,,,,,,,
778,TV/computer use,61,27,,,,,,,,,,
778,air travel - large plane,3071,46,,,,,,,,,,
778,air travel - small  plane (<50 seats),,,,,,,,,,,,
778,car trips- self only,351,49,,,,,1,,,,,
778,car trips - driver and self,23,35,,,,,1,,,,,
778,car trips - 2+ people with multiple end points,20,,,,,,1,,,,,
778,trips using public ground transportation,16,51,,,,,,,,,,
778,bags of garbage disposed,24,43,,,,,,,,,,
778,bags of recycling deposited (negative CF),,,,,,,,,,,,
778,bags of compost deposited (negative CF),,,,,,,,,,,,
778,hazardous or electric items disposed,,,,,,,,,,,,
778,large items disposed,2,17,,,,,,,,,,
779,Household heating => 70F,9,67,,,,,,1,,,,
779,Household heating < 70F,4,64,,,,1,,1,,,,
779,Use of heat pump,,50,,,,1,,,,,,
779,Use of air conditioner,20,42,,,,,,,,,,
779,shower - short,7,82,,,,,,,,,,
779,shower - long (> 3 min),35,78,,,,,,,,,,
779,bath,,17,,,,,,,,,,
779,wash-up,37,41,,,,,,,,1,,
779,use of dishwasher,,24,,,,,,,,,,
779,use of clothes washer,6,47,,1,,,,,,,,
779,use of clothes dryer,4,20,,,,,,,,,,
779,use of cooking range,,,,,,,,,,,,
779,use of  oven,9,31,,,,,,,,,,
779,use of self-clean feature of electric oven,3,19,,,,,,,,,,
779,Small kitchen appliance in the home,,,,,,,,,,,,
779,TV/computer use,61,28,,,,,,,,,,
779,air travel - large plane,3055,46,,,,,,,,,,
779,air travel - small  plane (<50 seats),,,,,,,,,,,,1
779,car trips- self only,268,43,,,,,1,,,,,
779,car trips - driver and self,31,34,,,,,1,,,,,
779,car trips - 2+ people with multiple end points,22,,,,,,1,,,,,
779,trips using public ground transportation,13,49,,,,,,,,,,
779,bags of garbage disposed,26,44,,,,,,,,,,
779,bags of recycling deposited (negative CF),,,,,,,,,,,,
779,bags of compost deposited (negative CF),,,,,,,,,,,,
779,hazardous or electric items disposed,,,,,,,,,,,,
779,large items disposed,1,19,,,,,,,,,,
780,Household heating => 70F,2,66,,,,,,1,,,,
780,Household heating < 70F,8,85,,,,,,1,,,,
780,Use of heat pump,,45,,,,,,,,,,
780,Use of air conditioner,16,54,,,,,,,,,,
780,shower - short,7,93,,,,,1,,,,,
780,shower - long (> 3 min),20,91,,,,,,,,,,
780,bath,,13,,,,,,,1,,,
780,wash-up,48,34,,1,1,,1,,,,,
780,use of dishwasher,,20,,,,,,,,,,
780,use of clothes washer,2,27,,,,,,,,,,
780,use of clothes dryer,4,17,,,,,,,1,,1,
780,use of cooking range,17,,,,,,,,,,1,
780,use of  oven,11,31,,,,,,,,,1,
780,use of self-clean feature of electric oven,2,13,,,,,,,,,,
780,Small kitchen appliance in the home,,,,,,,,,,,,
780,TV/computer use,58,27,,1,,1,,,,,,
780,air travel - large plane,2105,46,,,,,,,,,,
780,air travel - small  plane (<50 seats),,,,,,,,,,,,1
780,car trips- self only,271,44,,,,,1,,,,,
780,car trips - driver and self,27,19,,,,,1,,,,,
780,car trips - 2+ people with multiple end points,30,,,,,,1,,,,,
780,trips using public ground transportation,14,44,,,,,,,,,,
780,bags of garbage disposed,21,43,,,,,,,,,,
780,bags of recycling deposited (negative CF),,,,,,,,,,,,
780,bags of compost deposited (negative CF),,,,,,,,,,,,
780,hazardous or electric items disposed,,,,,,,,,,,,
780,large items disposed,2,13,,,,,,,,,,
781,Household heating => 70F,8,67,,,,,1,1,,,,
781,Household heating < 70F,6,65,,,,,,1,,,,
781,Use of heat pump,,40,1,,,,,,,,,
781,Use of air conditioner,31,46,,,,1,,,,,,
781,shower - short,8,95,,,,,,,,,,
781,shower - long (> 3 min),14,78,,,,1,,,,1,,
781,bath,,11,,,,,,,,,,
781,wash-up,38,26,,,,,,,,,,
781,use of dishwasher,,19,,,,,,,,,,
781,use of clothes washer,7,45,,,,,,,,,,
781,use of clothes dryer,4,12,,,1,,,,,,,
781,use of cooking range,,,,,,,,,,,,
781,use of  oven,11,39,,,,,,,,,,
781,use of self-clean feature of electric oven,1,14,,,,,,,,,,
781,Small kitchen appliance in the home,,,1,,,,,,,,,
781,TV/computer use,63,28,,,,,,,,,,
781,air travel - large plane,3425,48,,,,,,,,,,
781,air travel - small  plane (<50 seats),,,,,,,,,,,,
781,car trips- self only,402,50,,,,,1,,,,,
781,car trips - driver and self,23,24,,,,,1,,,,,
781,car trips - 2+ people with multiple end points,16,,,,,,1,,,,,
781,trips using public ground transportation,17,49,,,,,,,,,,
781,bags of garbage disposed,17,49,,,,,,,,,,
781,bags of recycling deposited (negative CF),,,,,,,,,,,,
781,bags of compost deposited (negative CF),,,,,,,,,,,,
781,hazardous or electric items disposed,,,,,,,,,,,,
781,large items disposed,,18,,,,,,,,,,
782,Household heating => 70F,10,72,,,,,,1,,,,
782,Household heating < 70F,1,81,,,1,,,1,,,,
782,Use of heat pump,,44,,,,1,,,,,,
782,Use of air conditioner,17,42,,,,,,,,,,
782,shower - short,2,87,,,,1,,,,,,
782,shower - long (> 3 min),26,91,,,,,,,,,,
782,bath,,11,,,,,,,,,,
782,wash-up,42,30,,,,,,,,,,
782,use of dishwasher,,21,,1,,,,,,,,
782,use of clothes washer,3,33,,,,1,,,,,,
782,use of clothes dryer,2,15,,,,,,,,,1,
782,use of cooking range,,,,,,,,,,,1,
782,use of  oven,12,37,,,1,,,,,,1,
782,use of self-clean feature of electric oven,2,19,,,,,,,,,,
782,Small kitchen appliance in the home,,,,,,,,,,,,
782,TV/computer use,61,23,,,,,,,,,,
782,air travel - large plane,3923,45,,,,,,,,,,
782,air travel - small  plane (<50 seats),,,,,,,,,,,,
782,car trips- self only,294,46,,,,,1,,,,,
782,car trips - driver and self,26,23,,,,,1,,,,,
782,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
782,trips using public ground transportation,19,56,,,,,,,,,,
782,bags of garbage disposed,17,44,,,,,,,,,,
782,bags of recycling deposited (negative CF),,,,,,,,,,,,
782,bags of compost deposited (negative CF),,,,,,,,,,,,
782,hazardous or electric items disposed,,,,,,,,,,,,
782,large items disposed,1,15,,,,,,,,,,
783,Household heating => 70F,2,65,,,,,,1,1,,,
783,Household heating < 70F,9,88,,,,,,1,1,,,
783,Use of heat pump,,55,,,,,,,,,,
783,Use of air conditioner,12,39,,,,,,,,,,
783,shower - short,6,86,,,,,,,,,,
783,shower - long (> 3 min),19,92,,,,,,,,,,
783,bath,,17,,,,,,,1,,,
783,wash-up,53,24,,,,,1,,1,,,
783,use of dishwasher,,19,,,,,,,,,,
783,use of clothes washer,6,41,,,,,,,,,,
783,use of clothes dryer,1,20,,,,,,,,,,
783,use of cooking range,,,,,,,,,,,,
783,use of  oven,12,34,,,,,,,,,,
783,use of self-clean feature of electric oven,1,11,,,,,,,,,,
783,Small kitchen appliance in the home,,,,,,,,,,,,
783,TV/computer use,59,25,,,,,,,,,,
783,air travel - large plane,3657,44,,,,,,,,,,1
783,air travel - small  plane (<50 seats),,,,,,,,,,,,
783,car trips- self only,318,60,,,,,1,,,,,
783,car trips - driver and self,13,23,,,,,1,,,,,
783,car trips - 2+ people with multiple end points,25,,,,,,1,,,,,
783,trips using public ground transportation,12,49,,,,,,,,,,
783,bags of garbage disposed,22,49,,,,,,,,,,
783,bags of recycling deposited (negative CF),,,,,,,,,,,,
783,bags of compost deposited (negative CF),,,,,,,,,,,,
783,hazardous or electric items disposed,,,,,,,,,,,,
783,large items disposed,2,19,,,,,,,,,,
784,Household heating => 70F,6,88,,,1,,,1,,,,
784,Household heating < 70F,5,70,,,,,,1,,,,
784,Use of heat pump,,49,,,,,,,,,,
784,Use of air conditioner,28,55,,,,,,,,,,
784,shower - short,5,88,,,,,,,,,,
784,shower - long (> 3 min),16,86,,1,,,,,,,,
784,bath,,14,,,,1,,,,,,
784,wash-up,47,29,,,,,,,,,,
784,use of dishwasher,,21,,,,,,,,,,
784,use of clothes washer,3,41,,,,,,,,,,
784,use of clothes dryer,4,16,,,,,1,,,,1,
784,use of cooking range,,,,,,,,,,,1,
784,use of  oven,12,38,,,,,,,,,1,
784,use of self-clean feature of electric oven,1,20,,,,,,,,,,
784,Small kitchen appliance in the home,,,,,,,,,,,,
784,TV/computer use,59,30,,,,,,,,1,,
784,air travel - large plane,3256,45,,,,,,,,,,
784,air travel - small  plane (<50 seats),,,,,,,,,,,,
784,car trips- self only,406,53,,,,,1,,,,,
784,car trips - driver and self,25,25,,,,,1,,,,,
784,car trips - 2+ people with multiple end points,18,,,,,,1,,,,,
784,trips using public ground transportation,15,57,,,,,,,,,,
784,bags of garbage disposed,21,48,,,,,,,,,,
784,bags of recycling deposited (negative CF),,,,,,,,,,,,
784,bags of compost deposited (negative CF),,,,,,,,,,,,
784,hazardous or electric items disposed,,,,,,,,,,,,
784,large items disposed,1,16,,,,,,,,,,
785,Household heating => 70F,7,93,,,,,,1,,,,
785,Household heating < 70F,6,71,,,,,,1,,,,
785,Use of heat pump,,51,,1,,,,,,,,
785,Use of air conditioner,22,42,,,1,,,,,,,
785,shower - short,7,82,,,,,,,,,,
785,shower - long (> 3 min),32,76,,,,,,,,,,
785,bath,,22,,,,,,,,,,
785,wash-up,32,41,,,,1,,,,,,
785,use of dishwasher,,23,,,,,,,,,,
785,use of clothes washer,5,30,,,,,,,,,,
785,use of clothes dryer,3,21,1,,,,,,,,,
785,use of cooking range,,,,,,,,,,,,
785,use of  oven,9,38,,,,,,,,,,
785,use of self-clean feature of electric oven,2,14,,,,,,,,,,
785,Small kitchen appliance in the home,,,,,,,,,,,,
785,TV/computer use,59,23,,,,,,,,,,
785,air travel - large plane,2280,43,,,,,,,,,,
785,air travel - small  plane (<50 seats),,,,,,,,,,,,
785,car trips- self only,383,49,,,,,1,,,,,
785,car trips - driver and self,34,20,,,,,1,,,,,
785,car trips - 2+ people with multiple end points,12,,,,,,1,,,,,
785,trips using public ground transportation,13,48,,,,,,,,,,
785,bags of garbage disposed,27,42,,,,,,,,,,
785,bags of recycling deposited (negative CF),,,,,,,,,,,,
785,bags of compost deposited (negative CF),,,,,,,,,,,,
785,hazardous or electric items disposed,,,,,,,,,,,,
785,large items disposed,2,20,,,,,,,,,,
786,Household heating => 70F,8,87,,,,,,1,,,,
786,Household heating < 70F,1,64,,,,,,1,,,,
786,Use of heat pump,,40,,,,,,,,,,
786,Use of air conditioner,20,41,,,,1,,,,,,
786,shower - short,7,93,,,,,,,,,,
786,shower - long (> 3 min),40,74,,,,,,,,,,
786,bath,,19,,,,,,,,,,
786,wash-up,38,33,,,,,,,,,,
786,use of dishwasher,,25,1,,,,,,,,,
786,use of clothes washer,5,45,,,,,,,,,,
786,use of clothes dryer,2,12,,,,,,,,,1,
786,use of cooking range,,,,,,,,,,1,1,
786,use of  oven,8,40,,,,,,,,,1,
786,use of self-clean feature of electric oven,4,17,,,,,,,,,,
786,Small kitchen appliance in the home,,,,,,,,,,,,
786,TV/computer use,60,21,,,,,,,,,,
786,air travel - large plane,3206,45,,,,,,,,,,1
786,air travel - small  plane (<50 seats),,,,,,,,,,,,1
786,car trips- self only,287,54,,,,,1,,,,,
786,car trips - driver and self,20,32,,,,,1,,,,,
786,car trips - 2+ people with multiple end points,11,,,,,,1,,,,,
786,trips using public ground transportation,16,58,,,,,,,,,,
786,bags of garbage disposed,21,50,,,,,,,,,,
786,bags of recycling deposited (negative CF),,,,,,,,,,,,
786,bags of compost deposited (negative CF),,,,,,,,,,,,
786,hazardous or electric items disposed,,,,,,,,,,,,
786,large items disposed,,18,,,,,,,,,,
787,Household heating => 70F,8,67,,,,,,1,,,,
787,Household heating < 70F,7,76,,,,1,,1,1,,,
787,Use of heat pump,,49,,,,,,,,,,
787,Use of air conditioner,28,49,,,1,,,,,,,
787,shower - short,7,85,,,,,,,,,,
787,shower - long (> 3 min),31,87,,,,,,,,,,
787,bath,5,20,,,,,,,,,,
787,wash-up,44,33,,,,,,,,,,
787,use of dishwasher,,19,,,,,,,,,,
787,use of clothes washer,7,27,,,,,,,,,,
787,use of clothes dryer,4,21,,,,,,,,,,
787,use of cooking range,,,,,,,,,,,,
787,use of  oven,12,32,,,,,,,,,,
787,use of self-clean feature of electric oven,2,13,,,,,,,,,,
787,Small kitchen appliance in the home,,,,,,,,,,,,
787,TV/computer use,61,24,,,,,,,,,,
787,air travel - large plane,3598,49,,,,,,,,,,
787,air travel - small  plane (<50 seats),,,,,,,,,,,,
787,car trips- self only,324,45,,,,,1,,,,,
787,car trips - driver and self,20,29,,,,,1,,,,,
787,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
787,trips using public ground transportation,14,47,,,,,,,,,,
787,bags of garbage disposed,20,50,,,,,,,,,,
787,bags of recycling deposited (negative CF),,,,,,,,,,,,
787,bags of compost deposited (negative CF),,,,,,,,,,,,
787,hazardous or electric items disposed,,,,,,,,,,,,
787,large items disposed,2,20,,,,,,,,,,
788,Household heating => 70F,4,72,,,,,,1,,,,
788,Household heating < 70F,6,65,,,,,,1,,,,
788,Use of heat pump,,45,,,,,,,,,,
788,Use of air conditioner,16,55,,,,1,,,,,,
788,shower - short,5,89,,,,,,,,,,
788,shower - long (> 3 min),31,82,1,,,1,,,,,,
788,bath,,16,,,,,,,,,,
788,wash-up,48,37,,,,,,,,,,
788,use of dishwasher,,20,,,,,,,,,,
788,use of clothes washer,4,28,,,,,,,,,,
788,use of clothes dryer,2,16,,,,,,,,,1,
788,use of cooking range,,,,,,,,,,,1,
788,use of  oven,8,33,,,,,,,,,1,
788,use of self-clean feature of electric oven,3,13,,,,,,,,,,
788,Small kitchen appliance in the home,,,,,,,,,,,,
788,TV/computer use,64,28,,,,,,,,,,
788,air travel - large plane,2266,49,,,,,,,,,,
788,air travel - small  plane (<50 seats),,,,,,,,,,,,1
788,car trips- self only,460,57,,,,,1,,,,,
788,car trips - driver and self,36,33,,,,,1,,,,,
788,car trips - 2+ people with multiple end points,22,,,,,,1,,,,,
788,trips using public ground transportation,14,49,,,,,,,,,,
788,bags of garbage disposed,20,43,,,,,,,,,,
788,bags of recycling deposited (negative CF),,,,,,,,,,,,
788,bags of compost deposited (negative CF),,,,,,,,,,,,
788,hazardous or electric items disposed,,,,,,,,,,,,
788,large items disposed,2,14,,,,,,,,,,
789,Household heating => 70F,5,78,1,,,1,,1,,,,
789,Household heating < 70F,1,87,,,,1,,1,,,,
789,Use of heat pump,,53,,,,,,,,,,
789,Use of air conditioner,32,56,,,,,,,,,,
789,shower - short,8,96,,,,,,,,,,
789,shower - long (> 3 min),38,91,,,,,,,,,,
789,bath,,22,,,,,,,,,,
789,wash-up,49,39,,,,,,,,,,
789,use of dishwasher,,21,,,,,,,,,,
789,use of clothes washer,5,37,,,,,,,,,,
789,use of clothes dryer,1,19,,,,,,,,,,
789,use of cooking range,,,,1,,,,,,,,
789,use of  oven,9,36,,,,,,,,,,
789,use of self-clean feature of electric oven,4,13,,,,,,,,,,
789,Small kitchen appliance in the home,,,,,,,,,,,,
789,TV/computer use,62,21,,,,,,,,,,
789,air travel - large plane,2612,48,,,,,,,,,,
789,air travel - small  plane (<50 seats),,,,,,,,,,,,
789,car trips- self only,270,48,,,,,1,,,,,
789,car trips - driver and self,24,32,,,,,1,,,,,
789,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
789,trips using public ground transportation,17,61,,,,,,,,,,
789,bags of garbage disposed,22,48,,,,,,,,,,
789,bags of recycling deposited (negative CF),,,,,,,,,,,,
789,bags of compost deposited (negative CF),,,,,,,,,,,,
789,hazardous or electric items disposed,,,,,,,,,,,,
789,large items disposed,2,14,,,,,,,,,,
790,Household heating => 70F,4,78,,,,1,,1,,,,
790,Household heating < 70F,10,85,,,,,,1,,,,
790,Use of heat pump,,48,,,,,,,,,,
790,Use of air conditioner,31,52,,1,,,,,,,,
790,shower - short,7,92,,,,,,,,,,
790,shower - long (> 3 min),20,91,1,,,,,,,,,
790,bath,,13,,1,,,,,,,,
790,wash-up,50,35,,1,,,,,,,,
